               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018221,            0.011422,           0.0085532,             0.98815,             0.96157,             0.99267,              0.7593,           0.0069612,           0.0031485,             0.00194,             0.00307,             0.00307,             0.00307
                  37,             0.01798,            0.012246,           0.0083255,             0.98639,             0.95992,             0.98722,             0.77073,           0.0071141,           0.0031459,            0.002299,            0.002872,            0.002872,            0.002872
                  38,            0.017346,            0.012711,           0.0093621,             0.98966,             0.94661,              0.9796,             0.77956,           0.0063538,           0.0031193,           0.0027738,            0.002674,            0.002674,            0.002674
                  39,            0.017004,            0.011767,           0.0052947,             0.98991,             0.93736,             0.98333,             0.80337,           0.0060689,           0.0030663,           0.0025966,            0.002476,            0.002476,            0.002476
                  40,            0.017166,            0.011806,           0.0064603,             0.98983,             0.93415,             0.99063,             0.78275,           0.0057681,           0.0031099,            0.002297,            0.002278,            0.002278,            0.002278
                  41,            0.015946,            0.012716,           0.0073369,              0.9835,              0.9289,             0.99063,               0.775,           0.0069109,           0.0031204,           0.0023266,             0.00208,             0.00208,             0.00208
                  42,            0.021182,            0.011848,             0.00567,             0.93915,             0.99392,             0.99267,              0.7552,           0.0065009,            0.003189,           0.0020843,            0.001882,            0.001882,            0.001882
                  43,            0.020919,             0.01139,           0.0095809,             0.96258,             0.96154,              0.9925,             0.82002,           0.0050826,           0.0031653,           0.0022435,            0.001684,            0.001684,            0.001684
                  44,            0.016784,            0.011523,           0.0065913,             0.97907,             0.96154,              0.9925,             0.82188,           0.0056234,           0.0031428,           0.0022094,            0.001486,            0.001486,            0.001486
                  45,            0.016821,            0.011705,           0.0064948,             0.98974,             0.96154,             0.98844,             0.77502,           0.0057931,           0.0031503,           0.0022806,            0.001288,            0.001288,            0.001288
                  46,            0.015305,            0.011791,           0.0074186,             0.98478,             0.96154,             0.99033,             0.81751,           0.0054294,           0.0030657,           0.0022067,             0.00109,             0.00109,             0.00109
                  47,            0.014045,            0.010403,           0.0054057,             0.98582,             0.96154,              0.9925,             0.81442,           0.0050788,           0.0030401,           0.0016596,            0.000892,            0.000892,            0.000892
                  48,            0.013784,             0.01082,           0.0080807,             0.98359,             0.98438,               0.995,             0.82276,           0.0050753,           0.0030338,           0.0014852,            0.000694,            0.000694,            0.000694
                  49,            0.015797,            0.010455,           0.0082509,             0.99316,             0.99293,               0.995,             0.82999,           0.0048809,            0.003005,           0.0014868,            0.000496,            0.000496,            0.000496
